[Header],,,,,,,
Investigator Name,doris,,,,,,
Project Name,BNS15016,,,,,,
Experiment Name,,,,,,,
Date,05.11.2015,,,,,,
,,,,,,,
**NOTE**,,,,,,,
The following columns are required:  Sample_ID , SentrixBarcode_A, SentrixPosition_A  (and _B, _C etc.. if you have multiple manifests),,,,
All other columns are optional," any desired additional columns may be added here or ""on the fly"" during analysis",,,,,,
Column order doesn't matter,,,,,,,
,,,,,,,
[Manifests],,,,,,,
A,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,,,,,,
,,,,,,,
[Data],,,,,,,
Sample_ID,SentrixBarcode_A,SentrixPosition_A,Sample_Well,Project,Sample_Plate,Manifest,Replicate
ASSYST228,3999858033,R01C02,A01,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST229,3999858033,R03C02,A02,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST230,3999858033,R05C02,A03,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST231,3999858033,R07C02,A04,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
H2O-01,3999858033,R09C02,A05,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,H20-02
ASSYST232,3999858033,R11C02,A06,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST233,3999858033,R02C02,A07,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST234,3999858033,R04C02,A08,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST235,3999858033,R06C02,A09,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST236,3999858033,R08C02,A10,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST237,3999858033,R10C02,A11,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST238,3999858033,R12C02,A12,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST239,3999858033,R01C01,B01,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST240,3999858033,R03C01,B02,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
ASSYST241,3999858033,R05C01,B03,BNS15016,Platte 01,Brassica60k_Cons_ParkinAAFC_11621646_A.bpm,
